"Control1" "Control2" "Control3" "Treatment1" "Treatment2" "Treatment3" "control" "experimental" "ratio" "ratio_log2"
"245401_at" 1498.38274076024 1396.42401422612 1912.7942016751 445.50445161292 283.650055920972 293.950671327964 1602.53365222049 341.035059620619 0.212809920807639 -2.23236268668754
"245402_at" 45.5774231421089 66.0255823565608 137.977002905885 24.8326768660813 9.43580921809322 17.1297865515033 83.1933361348516 17.1327575452259 0.205939061242294 -2.27971059752612
"245409_at" 29.3080271387957 22.0552857718704 25.881533451241 249.708967697922 22.0564558270005 23.1776304395538 25.7482821206357 98.3143513214921 3.81828779337085 1.93292584617331
"245417_at" 16.5259807699314 11.2371239874571 41.1816541044157 106.397798636914 54.8443233168993 12.0646111190912 22.9815862872681 57.7689110243015 2.51370424574677 1.32981491694436
"245419_at" 24.9204396139193 148.024250837118 261.40588964913 6.70282781602984 3.49817165628317 14.4980347959793 144.783526700056 8.2330114227641 0.0568642829085122 -4.13633342564897
"245422_at" 7.55223163576708 245.562076113841 27.0028937956333 45.9741183337469 4.12258994873791 25.0871357324812 93.3724005150805 25.061281338322 0.268401381993755 -1.89753599492004
"245437_at" 131.482088920743 339.723444876418 333.937898796919 18.7024160099864 178.249056746685 74.8816144221064 268.381144198027 90.6110290595926 0.337620697349493 -1.5665247457943
"245440_at" 33.4199004885391 95.303984492632 40.8607228657886 499.623888939552 47.7943361092851 14.1628489621486 56.5282026156532 187.193691336995 3.31150970091448 1.7274890845457
"245447_at" 17.6817295123358 132.469875473098 26.658334979258 354.602602281005 9.39759626982947 21.5751168884222 58.9366466548973 128.525105146419 2.18073325241926 1.12481331012195
"245448_at" 67.3475240821037 201.414024633842 127.398155319871 28.8166065607424 51.1871003789755 47.6776788494492 132.053234678606 42.5604619297224 0.322297761454364 -1.63353392681229
"245451_at" 293.250434066327 452.621936654957 786.622577041385 153.744477434743 274.905235625525 269.308258680912 510.831649254223 232.65265724706 0.455439003410842 -1.13467024693968
"245452_at" 12.0750658956817 42.2066759285575 70.9923321762867 327.359752732861 35.753914361711 109.451801491086 41.758024666842 157.521822861886 3.77225273749518 1.91542633850399
"245457_s_at" 156.773937805502 160.613618280038 67.0364767625421 500.205008771923 201.089258951559 230.728609854127 128.141344282694 310.67429252587 2.42446568876699 1.27766683674271
"245458_at" 123.604700563765 243.997191326033 85.8701073907443 14.886835277298 131.168874026443 13.8864126387416 151.157333093514 53.3140406474942 0.352705618420188 -1.5034635375457
"245461_at" 81.246836526573 47.28237538563 54.9163853699402 456.026020147706 98.2183019168973 68.0989551733247 61.1485324273811 207.447759079309 3.39252228703396 1.76235829340029
"245468_at" 35.0965088250167 53.081875780919 416.582747654496 48.1905769562869 99.5614455648258 94.0653985051816 168.253710753477 80.6058070087648 0.479072982389477 -1.06168264078211
"245472_at" 5.00991158648465 31.5967489435537 22.9102896886067 27.6991181187322 49.4711073559808 63.1542086941316 19.838983406215 46.7748113896149 2.35772218928121 1.2373937353837
"245474_at" 286.720690354159 456.804592992262 545.207446644018 30.7314696929333 161.63989014939 242.136720792049 429.57757666348 144.836026878124 0.337159187877223 -1.56849818200768
"245476_at" 7.90843419098636 15.2958768401048 61.4363143581978 259.292694181177 52.1100913435138 35.7762989869182 28.2135417964297 115.72636150387 4.10180197647197 2.03625784421712
"245500_at" 5.22149796403367 110.9744574202 35.4796970287737 18.456722804287 4.69832880798589 13.0398721411577 50.5585508043358 12.0649745844769 0.238633710668823 -2.06713023467312
"245503_at" 10.4493650012725 12.8432724578612 251.382263097104 25.1707410820325 5.42285801768468 36.1428392765616 91.5583001854126 22.2454794587596 0.242965186266136 -2.04117848558044
"245504_at" 26.2034886433414 49.7795687996983 121.000923934663 14.116274331791 123.6913798452 314.659527688108 65.6613271259009 150.822393955033 2.29697449863969 1.19973483978494
