"Control1" "Control2" "Control3" "Treatment1" "Treatment2" "Treatment3" "control" "experimental" "ratio" "ratio_log2"
"245506_at" 29.0766966192772 64.7485554672906 12.9686691378668 130.058011475168 49.039011878745 162.304214065722 35.5979737414782 113.800412473212 3.19682275456631 1.67663875719415
"245538_at" 12.4430215849018 21.5635599156925 50.3637035241151 211.839449137347 10.5297054348338 13.3877805625907 28.1234283415698 78.5856450449238 2.79431241776326 1.48249333011039
"245548_at" 53.3296519972099 13.5920131203073 26.2381375285551 156.857991665232 61.11583118755 7.18794081207219 31.0532675486908 75.0539212216181 2.41694118353038 1.27318236542393
"245574_at" 136.206283878015 94.267218827754 51.467029457868 312.169853432437 187.152921073703 131.115995976144 93.980177387879 210.146256827428 2.23607001676644 1.16096536316332
"245591_at" 1.23911271249115 26.76588447601 14.5913806830111 50.5380142398986 18.9479515130738 30.0624346962092 14.1987926238374 33.1828001497272 2.33701562018863 1.22466737686501
"245609_at" 6.19579616511371 31.0887603350942 127.25459677381 349.432482936138 32.0574795083463 133.917807153339 54.8463844246726 171.802589865941 3.13243236847999 1.64728336103577
"245613_at" 20.0419748113347 60.6209336389526 95.6069854940226 319.508486793234 16.9877993798965 70.0409539986687 58.75663131477 135.5124133906 2.30633394662528 1.20560142376962
"245617_at" 73.6906300066353 134.013752092637 15.033683078734 523.02717961478 160.058361144684 85.774412962793 74.2460217260021 256.286651240752 3.45185701917544 1.78737270727508
"245620_at" 4.38698111649966 44.3704735135813 15.5118580015253 139.502931217421 11.0005951922394 15.8992505141605 21.4231042105354 55.4675923079403 2.58914822813878 1.37247756156064
"245628_at" 31.3796493622278 30.1576434049008 71.1894192435141 476.559960764344 88.9565373547525 51.0789881034084 44.2422373368809 205.531828740835 4.64560205614875 2.21586557769185
"245635_at" 50.884068849016 88.0131607150619 43.7591967963309 280.317815303671 81.9778134349246 91.7959536019981 60.8854754534696 151.363860780198 2.48604219073356 1.31385078064043
